freq_Hz,Re,Im
4.7051692533e+09,-3.8016305896e+02,3.5789038846e+01
4.8052792374e+09,3.7650982780e+02,-3.3868153558e+01
4.9053892216e+09,-3.7192603409e+02,3.1091429520e+01
5.0054992057e+09,3.6518820628e+02,-2.7487529023e+01
5.1056091898e+09,-3.6007275659e+02,2.4908653919e+01
5.2057191739e+09,3.5505235230e+02,-2.3265564016e+01
5.3058291580e+09,-3.4906874830e+02,1.9413118403e+01
5.4059391421e+09,3.4539135813e+02,-1.4854709968e+01
5.5060491262e+09,-3.4277469816e+02,1.1089979930e+01
5.6061591104e+09,3.3810047677e+02,-7.0816953684e+00
5.7062690945e+09,-3.3224947323e+02,4.5042964307e+00
5.8063790786e+09,3.2680375113e+02,-2.9406132843e+00
5.9064890627e+09,-3.2230277697e+02,-1.8102208932e+00
6.0065990468e+09,3.1798830705e+02,6.1028366632e+00
6.1067090309e+09,-3.1338630189e+02,-8.4020158734e+00
6.2068190150e+09,3.1133555453e+02,1.3892219140e+01
6.3069289991e+09,-3.1028101718e+02,-1.9386880228e+01
6.4070389833e+09,3.0730993936e+02,2.2933710996e+01
6.5071489674e+09,-3.0461300055e+02,-2.5834280407e+01
6.6072589515e+09,3.0264361797e+02,2.7873519079e+01
6.7073689356e+09,-3.0045620235e+02,-2.9861992282e+01
6.8074789197e+09,2.9771178356e+02,3.1812172464e+01
6.9075889038e+09,-2.9402695794e+02,-3.2767595171e+01
7.0076988879e+09,2.9010644203e+02,3.3545447123e+01
7.1078088721e+09,-2.8856230835e+02,-3.6102440399e+01
7.2079188562e+09,2.8684376897e+02,4.0188956703e+01
7.3080288403e+09,-2.8337077717e+02,-4.3747268929e+01
7.4081388244e+09,2.7871704975e+02,4.5579802408e+01
7.5082488085e+09,-2.7191371959e+02,-4.8938991255e+01
7.6083587926e+09,2.6546057491e+02,5.2676681745e+01
7.7084687767e+09,-2.6103994376e+02,-5.5364827005e+01
7.8085787608e+09,2.6100862814e+02,5.7290228389e+01
