Time(us),Amplitude
9.399414062500000217e-05,-2.126986666666666570e+05
9.521484375000000325e-05,-2.126424444444444380e+05
9.643554687500000434e-05,-2.128098888888888760e+05
9.765624999999999187e-05,-2.120604444444444380e+05
9.887695312499999295e-05,-2.129596666666666570e+05
1.000976562499999940e-04,-2.125475555555555620e+05
1.013183593749999951e-04,-2.121428888888888760e+05
1.025390624999999962e-04,-2.124226666666666570e+05
1.037597656249999973e-04,-2.130690000000000000e+05
1.049804687499999984e-04,-2.126481111111111240e+05
1.062011718749999995e-04,-2.123684444444444380e+05
1.074218750000000005e-04,-2.124518888888888760e+05
1.086425781250000016e-04,-2.125745555555555620e+05
1.098632812500000027e-04,-2.125344444444444380e+05
1.110839843749999902e-04,-2.127533333333333430e+05
1.123046874999999913e-04,-2.124774444444444380e+05
1.135253906249999924e-04,-2.129301111111111240e+05
1.147460937499999935e-04,-2.122874444444444380e+05
1.159667968749999946e-04,-2.125728888888888760e+05
1.171875000000000092e-04,-2.129763333333333430e+05
1.184082031250000103e-04,-2.126840000000000000e+05
1.196289062499999978e-04,-2.126335555555555620e+05
1.208496093750000125e-04,-2.128236666666666570e+05
1.220703125000000000e-04,-2.121463333333333430e+05
1.232910156250000011e-04,-2.122291111111111240e+05
1.245117187500000022e-04,-2.127105555555555620e+05
1.257324218750000033e-04,-2.124388888888888760e+05
1.269531250000000043e-04,-2.125654444444444380e+05
1.281738281250000054e-04,-2.127707777777777810e+05
1.293945312500000065e-04,-2.126661111111111240e+05
1.306152343749999805e-04,-2.120406666666666570e+05
1.318359375000000087e-04,-2.125016666666666570e+05
1.330566406249999827e-04,-2.125547777777777810e+05
1.342773437500000108e-04,-2.123632222222222190e+05
1.354980468749999848e-04,-2.131382222222222190e+05
1.367187500000000130e-04,-2.124184444444444380e+05
1.379394531249999870e-04,-2.126716666666666570e+05
1.391601562500000152e-04,-2.125095555555555620e+05
1.403808593749999892e-04,-2.128040000000000000e+05
1.416015625000000173e-04,-2.125235555555555620e+05
1.428222656249999913e-04,-2.125903333333333430e+05
1.440429687499999924e-04,-2.125173333333333430e+05
1.452636718749999935e-04,-2.126514444444444380e+05
1.464843749999999946e-04,-2.124445555555555620e+05
1.477050781249999957e-04,-2.123921111111111240e+05
1.489257812499999967e-04,-2.128583333333333430e+05
1.501464843749999978e-04,-2.123675555555555620e+05
1.513671874999999989e-04,-2.125928888888888760e+05
1.525878906250000000e-04,-2.129500000000000000e+05
1.538085937500000011e-04,-2.124985555555555620e+05
1.550292968750000022e-04,-2.126155555555555620e+05
1.562500000000000033e-04,-2.126996666666666570e+05
1.574707031250000043e-04,-2.124161111111111240e+05
1.586914062500000054e-04,-2.126596666666666570e+05
