Time(us),Differential_Amplitude
1.196289062499999978e-04,1.318888888888888857e+02
1.208496093750000125e-04,2.688888888888889142e+02
1.220703125000000000e-04,-2.168888888888888857e+02
1.232910156250000011e-04,-9.091111111111110858e+02
1.245117187500000022e-04,2.921111111111110858e+02
1.257324218750000033e-04,-2.327777777777777715e+02
1.269531250000000043e-04,5.588888888888888573e+01
1.281738281250000054e-04,-3.322222222222222143e+01
1.293945312500000065e-04,1.425555555555555429e+02
1.306152343749999805e-04,-5.496666666666666288e+02
1.318359375000000087e-04,-1.566666666666666607e+01
1.330566406249999827e-04,-9.666666666666667140e+01
1.342773437500000108e-04,-8.133333333333332860e+01
1.354980468749999848e-04,7.461111111111110858e+02
1.367187500000000130e-04,-4.398888888888889142e+02
1.379394531249999870e-04,3.041111111111110858e+02
1.391601562500000152e-04,-8.333333333333332860e+01
1.403808593749999892e-04,-1.460000000000000000e+02
1.416015625000000173e-04,2.500000000000000000e+01
1.428222656249999913e-04,-2.522222222222222143e+01
1.440429687499999924e-04,-1.823333333333333428e+02
1.452636718749999935e-04,2.353333333333333428e+02
1.464843749999999946e-04,-2.151111111111111143e+02
1.477050781249999957e-04,-1.164444444444444429e+02
1.489257812499999967e-04,3.448888888888889142e+02
1.501464843749999978e-04,-2.461111111111111143e+02
1.513671874999999989e-04,1.131111111111111143e+02
1.525878906250000000e-04,3.160000000000000000e+02
1.538085937500000011e-04,-1.144444444444444464e+01
1.550292968750000022e-04,-2.866666666666666785e+01
1.562500000000000033e-04,-3.244444444444444287e+01
1.574707031250000043e-04,-5.030000000000000000e+02
1.586914062500000054e-04,1.122222222222222143e+01
1.599121093750000065e-04,-4.744444444444444287e+01
1.611328125000000076e-04,-7.433333333333332860e+01
1.623535156250000087e-04,-6.855555555555555713e+01
1.635742187500000098e-04,-8.033333333333332860e+01
1.647949218750000108e-04,-3.866666666666666430e+01
1.660156250000000119e-04,9.466666666666667140e+01
1.672363281250000130e-04,1.926666666666666572e+02
1.684570312500000141e-04,3.055555555555555713e+01
1.696777343750000152e-04,1.163333333333333286e+02
1.708984374999999892e-04,-1.160000000000000000e+02
1.721191406250000173e-04,-7.488888888888888573e+01
1.733398437499999913e-04,1.574444444444444571e+02
1.745605468750000195e-04,3.640000000000000000e+02
1.757812499999999935e-04,-2.424444444444444571e+02
1.770019531250000217e-04,9.222222222222222854e+01
1.782226562499999957e-04,-2.164444444444444571e+02
1.794433593750000239e-04,3.922222222222222143e+01
1.806640624999999978e-04,7.722222222222222854e+01
1.818847656250000260e-04,2.004444444444444571e+02
1.831054687500000000e-04,3.401111111111110858e+02
1.843261718750000011e-04,-1.631111111111111143e+02
1.855468750000000022e-04,-7.500000000000000000e+01
1.867675781250000033e-04,-6.457777777777778283e+02
1.879882812500000043e-04,3.050000000000000000e+02
1.892089843750000054e-04,-2.558888888888888857e+02
1.904296875000000065e-04,5.000000000000000000e+01
1.916503906250000076e-04,-1.972222222222222285e+02
1.928710937500000087e-04,-3.040000000000000000e+02
1.940917968750000098e-04,2.792222222222222285e+02
1.953124999999999837e-04,4.091111111111110858e+02
1.965332031250000119e-04,2.756666666666666856e+02
1.977539062499999859e-04,4.311111111111111427e+01
1.989746093750000141e-04,7.400000000000000000e+02
2.001953124999999881e-04,-2.326666666666666572e+02
2.014160156250000163e-04,-1.795555555555555429e+02
2.026367187499999902e-04,1.223333333333333286e+02
2.038574218750000184e-04,-6.888888888888888573e+01
2.050781249999999924e-04,4.188888888888889142e+02
2.062988281250000206e-04,-4.028888888888889142e+02
2.075195312499999946e-04,-6.413333333333333712e+02
2.087402343749999957e-04,-2.756666666666666856e+02
2.099609374999999967e-04,-1.633333333333333428e+02
2.111816406249999978e-04,-2.736666666666666856e+02
2.124023437499999989e-04,-1.171111111111111143e+02
2.136230468750000000e-04,2.725555555555555429e+02
2.148437500000000011e-04,-9.722222222222222854e+01
2.160644531250000022e-04,-2.366666666666666785e+01
2.172851562500000033e-04,1.574444444444444571e+02
2.185058593750000043e-04,2.453333333333333428e+02
2.197265625000000054e-04,-9.344444444444444287e+01
2.209472656250000065e-04,5.357777777777778283e+02
2.221679687499999805e-04,-1.130000000000000000e+02
2.233886718750000087e-04,-2.173333333333333428e+02
2.246093749999999827e-04,-1.451111111111111143e+02
2.258300781250000108e-04,4.924444444444444571e+02
2.270507812499999848e-04,3.000000000000000000e+02
2.282714843750000130e-04,4.088888888888888573e+01
2.294921874999999870e-04,-7.325555555555555429e+02
2.307128906250000152e-04,1.944444444444444571e+02
2.319335937499999892e-04,7.957777777777778283e+02
2.331542968749999902e-04,-4.278888888888889142e+02
2.343750000000000184e-04,3.993333333333333144e+02
2.355957031250000195e-04,-2.644444444444444571e+02
2.368164062500000206e-04,6.444444444444444287e+01
2.380371093749999946e-04,-6.972222222222221717e+02
2.392578124999999957e-04,-2.701111111111110858e+02
2.404785156250000239e-04,-1.685555555555555429e+02
2.416992187500000249e-04,6.478888888888889142e+02
2.429199218749999989e-04,-5.116666666666666856e+02
2.441406250000000000e-04,-2.085555555555555429e+02
2.453613281250000282e-04,4.292222222222222285e+02
2.465820312500000022e-04,-1.301111111111111143e+02
2.478027343750000304e-04,1.965555555555555429e+02
2.490234375000000043e-04,4.113333333333333144e+02
2.502441406249999783e-04,5.494444444444444571e+02
2.514648437500000065e-04,4.784444444444444571e+02
2.526855468750000347e-04,3.413333333333333144e+02
2.539062500000000087e-04,-2.574444444444444571e+02
2.551269531249999827e-04,3.112222222222222285e+02
2.563476562500000108e-04,-1.420000000000000000e+02
2.575683593750000390e-04,-5.476666666666666288e+02
2.587890625000000130e-04,3.666666666666666519e+00
2.600097656249999870e-04,4.732222222222222285e+02
2.612304687499999610e-04,-2.913333333333333144e+02
2.624511718750000434e-04,-1.448888888888888857e+02
2.636718750000000173e-04,-7.007777777777778283e+02
2.648925781249999913e-04,1.893333333333333428e+02
2.661132812499999653e-04,9.855555555555555713e+01
2.673339843750000477e-04,-5.000000000000000000e+02
2.685546875000000217e-04,3.951111111111110858e+02
2.697753906249999957e-04,-4.133333333333333570e+01
2.709960937499999696e-04,-2.818888888888889142e+02
2.722167968750000520e-04,-1.037777777777777715e+02
2.734375000000000260e-04,2.292222222222222285e+02
2.746582031250000000e-04,-4.686666666666666856e+02
2.758789062499999740e-04,1.876666666666666572e+02
2.770996093750000022e-04,-1.355555555555555429e+02
2.783203125000000304e-04,-3.966666666666666430e+01
2.795410156250000043e-04,1.400000000000000000e+02
2.807617187499999783e-04,-1.231111111111111086e+03
2.819824218750000065e-04,4.033333333333333570e+01
2.832031250000000347e-04,6.155555555555555713e+01
2.844238281250000087e-04,-1.774444444444444571e+02
2.856445312499999827e-04,-2.788888888888888928e+01
2.868652343750000108e-04,-1.513333333333333428e+02
2.880859374999999848e-04,-2.411111111111111072e+01
2.893066406250000130e-04,-2.187777777777777715e+02
2.905273437499999870e-04,4.152222222222222285e+02
2.917480468750000152e-04,4.666666666666666963e+00
2.929687499999999892e-04,3.875555555555555429e+02
2.941894531250000173e-04,2.301111111111111143e+02
2.954101562499999913e-04,2.356666666666666572e+02
2.966308593750000195e-04,-3.777777777777777679e+00
2.978515624999999935e-04,4.221111111111110858e+02
2.990722656250000217e-04,1.623333333333333428e+02
3.002929687499999957e-04,-1.916666666666666572e+02
3.015136718750000239e-04,-2.666666666666666856e+02
3.027343749999999978e-04,-1.960000000000000000e+02
3.039550781249999718e-04,5.107777777777777715e+02
3.051757812500000000e-04,-1.791111111111111143e+02
3.063964843750000282e-04,-1.121111111111111143e+02
3.076171875000000022e-04,-1.611111111111111072e+01
3.088378906249999761e-04,-2.003333333333333428e+02
3.100585937500000043e-04,-1.746666666666666572e+02
3.112792968750000325e-04,-1.552222222222222285e+02
3.125000000000000065e-04,4.695555555555555429e+02
3.137207031249999805e-04,5.297777777777778283e+02
3.149414062500000087e-04,2.188888888888888928e+01
3.161621093750000369e-04,-1.823333333333333428e+02
3.173828125000000108e-04,3.666666666666666856e+02
3.186035156249999848e-04,-1.312222222222222285e+02
3.198242187500000130e-04,2.930000000000000000e+02
3.210449218750000412e-04,2.932222222222222285e+02
3.222656250000000152e-04,-5.424444444444444571e+02
3.234863281249999892e-04,8.871111111111110858e+02
3.247070312500000173e-04,-2.952222222222222285e+02
3.259277343749999913e-04,-3.320000000000000000e+02
3.271484375000000195e-04,-3.515555555555555429e+02
3.283691406249999935e-04,-5.111111111111110716e+00
3.295898437500000217e-04,8.944444444444444287e+01
