Time(us),Differential_Amplitude
1.147460937499999935e-04,-6.823999999999999773e+02
1.159667968749999946e-04,-4.463999999999999773e+02
1.171875000000000092e-04,5.950000000000000000e+01
1.184082031250000103e-04,3.296999999999999886e+02
1.196289062499999978e-04,-2.444000000000000057e+02
1.208496093750000125e-04,5.752000000000000455e+02
1.220703125000000000e-04,-9.121000000000000227e+02
1.232910156250000011e-04,-2.365000000000000000e+02
1.245117187500000022e-04,1.680999999999999943e+02
1.257324218750000033e-04,-2.253000000000000114e+02
1.269531250000000043e-04,4.581999999999999886e+02
1.281738281250000054e-04,2.136999999999999886e+02
1.293945312500000065e-04,-9.410000000000000000e+02
1.306152343749999805e-04,-1.062400000000000091e+03
1.318359375000000087e-04,4.060000000000000142e+01
1.330566406249999827e-04,-4.720000000000000000e+02
1.342773437500000108e-04,5.922000000000000455e+02
1.354980468749999848e-04,5.902000000000000455e+02
1.367187500000000130e-04,1.811999999999999886e+02
1.379394531249999870e-04,1.645999999999999943e+02
1.391601562500000152e-04,-2.666999999999999886e+02
1.403808593749999892e-04,5.463999999999999773e+02
1.416015625000000173e-04,7.716000000000000227e+02
1.428222656249999913e-04,2.143000000000000114e+02
1.440429687499999924e-04,-2.515999999999999943e+02
1.452636718749999935e-04,7.270000000000000284e+01
1.464843749999999946e-04,-2.463000000000000114e+02
1.477050781249999957e-04,-2.895000000000000000e+02
1.489257812499999967e-04,-3.408999999999999773e+02
1.501464843749999978e-04,-5.963999999999999773e+02
1.513671874999999989e-04,-6.099999999999999645e+00
1.525878906250000000e-04,-1.039200000000000045e+03
1.538085937500000011e-04,-1.066799999999999955e+03
1.550292968750000022e-04,1.119000000000000057e+02
1.562500000000000033e-04,5.750000000000000000e+01
1.574707031250000043e-04,-1.885999999999999943e+02
1.586914062500000054e-04,-2.410999999999999943e+02
1.599121093750000065e-04,-7.922999999999999545e+02
1.611328125000000076e-04,-2.748000000000000114e+02
1.623535156250000087e-04,7.181000000000000227e+02
1.635742187500000098e-04,-4.288000000000000114e+02
1.647949218750000108e-04,2.711999999999999886e+02
1.660156250000000119e-04,2.445999999999999943e+02
1.672363281250000130e-04,-8.292000000000000455e+02
1.684570312500000141e-04,-2.793000000000000114e+02
1.696777343750000152e-04,-2.835000000000000000e+02
1.708984374999999892e-04,-9.870000000000000284e+01
1.721191406250000173e-04,5.720000000000000000e+02
1.733398437499999913e-04,-6.258999999999999773e+02
1.745605468750000195e-04,-5.191000000000000227e+02
1.757812499999999935e-04,3.018000000000000114e+02
1.770019531250000217e-04,6.326000000000000227e+02
1.782226562499999957e-04,9.488999999999999773e+02
1.794433593750000239e-04,1.012700000000000045e+03
1.806640624999999978e-04,-3.315000000000000000e+02
1.818847656250000260e-04,-2.484000000000000057e+02
1.831054687500000000e-04,9.970000000000000284e+01
1.843261718750000011e-04,4.739999999999999858e+01
1.855468750000000022e-04,3.611000000000000227e+02
1.867675781250000033e-04,2.853999999999999773e+02
1.879882812500000043e-04,2.289999999999999858e+01
1.892089843750000054e-04,-2.796000000000000227e+02
1.904296875000000065e-04,-6.526000000000000227e+02
1.916503906250000076e-04,3.783000000000000114e+02
1.928710937500000087e-04,3.121999999999999886e+02
1.940917968750000098e-04,6.501000000000000227e+02
1.953124999999999837e-04,2.601999999999999886e+02
1.965332031250000119e-04,5.220000000000000000e+02
1.977539062499999859e-04,2.573999999999999773e+02
1.989746093750000141e-04,-6.445000000000000000e+02
2.001953124999999881e-04,-7.629999999999999716e+01
2.014160156250000163e-04,-4.373999999999999773e+02
2.026367187499999902e-04,4.220000000000000000e+02
