freq_Hz,Re,Im
2.2727743828e+10,-5.1630307824e+01,6.2883731076e+01
2.2827866047e+10,4.9891793094e+01,-5.9095282379e+01
2.2927988267e+10,-4.0608076389e+01,5.2928238048e+01
2.3028110486e+10,3.7666202165e+01,-4.9312235633e+01
2.3128232706e+10,-3.8459293382e+01,5.2954934369e+01
2.3228354925e+10,3.0206198938e+01,-5.7167992985e+01
2.3328477145e+10,-1.9108947089e+01,6.1386667645e+01
2.3428599364e+10,2.2404055220e+01,-6.3813976340e+01
2.3528721584e+10,-3.2624411961e+01,6.0264238004e+01
2.3628843803e+10,3.2804689614e+01,-5.9160730198e+01
2.3728966023e+10,-2.8020202251e+01,6.1352255547e+01
2.3829088242e+10,2.2417597427e+01,-6.4977550724e+01
2.3929210462e+10,-2.1713565384e+01,7.2786304505e+01
2.4029332681e+10,2.6204499326e+01,-7.4751036078e+01
2.4129454901e+10,-2.2829495289e+01,7.0929035159e+01
2.4229577121e+10,1.2342639787e+01,-6.8770102957e+01
2.4329699340e+10,-5.5944862876e+00,6.5631020604e+01
2.4429821560e+10,4.9975525187e+00,-6.2488601078e+01
2.4529943779e+10,-1.2323392478e+01,6.6251218631e+01
2.4630065999e+10,1.4070109130e+01,-7.0341720148e+01
2.4730188218e+10,-1.1820427979e+00,6.7139415334e+01
2.4830310438e+10,-8.0491583839e+00,-6.3379514238e+01
2.4930432657e+10,7.6858862450e+00,6.0539169814e+01
2.5030554877e+10,-1.6603214352e+00,-5.7225126202e+01
2.5130677096e+10,-4.8402501511e-01,5.5035614467e+01
2.5230799316e+10,-7.6601842760e+00,-5.2460071405e+01
2.5330921535e+10,1.4054464103e+01,5.2667777382e+01
2.5431043755e+10,-1.1943457029e+01,-5.4941439013e+01
2.5531165974e+10,6.6029541051e+00,5.2374944427e+01
2.5631288194e+10,-5.8209501604e+00,-5.0342714755e+01
2.5731410413e+10,1.0065381475e+01,4.8442843167e+01
2.5831532633e+10,-1.4843778398e+01,-4.5698584410e+01
2.5931654852e+10,1.3583518225e+01,4.3921305080e+01
2.6031777072e+10,-1.1433559902e+01,-3.5730643385e+01
2.6131899291e+10,1.7596412094e+01,3.3143362001e+01
2.6232021511e+10,-2.1155246341e+01,-4.2799069950e+01
2.6332143730e+10,1.8201913091e+01,4.7398409820e+01
2.6432265950e+10,-1.5789272348e+01,-4.3154542281e+01
2.6532388169e+10,1.6857359466e+01,4.4411938660e+01
2.6632510389e+10,-2.4981587098e+01,-5.0960109087e+01
2.6732632608e+10,3.1511972824e+01,4.6113085161e+01
2.6832754828e+10,-2.8083327307e+01,-3.5912746779e+01
2.6932877047e+10,2.2187387326e+01,3.5625333129e+01
2.7032999267e+10,-2.1570173966e+01,-3.7258966836e+01
2.7133121486e+10,2.3983990696e+01,3.6091794942e+01
2.7233243706e+10,-2.5796015717e+01,-3.8127691557e+01
2.7333365925e+10,2.2921552720e+01,3.7552192812e+01
2.7433488145e+10,-1.7424727548e+01,-2.8582855567e+01
2.7533610364e+10,2.2463309204e+01,2.3051938844e+01
2.7633732584e+10,-3.1083823872e+01,-2.9655796032e+01
2.7733854803e+10,2.9796932016e+01,3.2626965285e+01
2.7833977023e+10,-2.8736585473e+01,-2.2871790343e+01
2.7934099242e+10,3.4832482123e+01,1.6363724862e+01
2.8034221462e+10,-3.6779720897e+01,-1.8909580337e+01
2.8134343681e+10,3.2218266513e+01,2.2129003522e+01
2.8234465901e+10,-2.8545108022e+01,-2.0045840398e+01
2.8334588120e+10,2.2596440831e+01,1.2306254232e+01
2.8434710340e+10,-1.6609403271e+01,-1.1000779415e+01
2.8534832559e+10,2.1412928899e+01,1.6748876429e+01
2.8634954779e+10,-3.2663923943e+01,-1.8387165544e+01
2.8735076998e+10,3.7946805444e+01,1.6503556091e+01
2.8835199218e+10,-3.7876286801e+01,-1.7313611536e+01
2.8935321437e+10,3.6388331507e+01,2.1042092049e+01
2.9035443657e+10,-3.0238678461e+01,-1.8460984826e+01
2.9135565876e+10,2.6160176594e+01,1.0066018757e+01
2.9235688096e+10,-2.6023475188e+01,-7.8770620166e+00
2.9335810315e+10,1.8483274463e+01,8.9248627048e+00
2.9435932535e+10,-1.4195164512e+01,-6.3337030186e+00
2.9536054754e+10,2.2295944021e+01,7.8433073325e+00
2.9636176974e+10,-2.2108438229e+01,-1.4819295511e+01
2.9736299193e+10,1.4422472870e+01,1.9593398773e+01
2.9836421413e+10,-2.1452919005e+01,-1.4959175965e+01
2.9936543632e+10,2.9438856285e+01,6.1614595722e+00
3.0036665852e+10,-2.2285972677e+01,-7.8664384268e+00
3.0136788071e+10,1.9131037960e+01,1.3780823013e+01
3.0236910291e+10,-1.8524067537e+01,-1.2790435105e+01
3.0337032510e+10,9.8528141898e+00,7.6198689795e+00
3.0437154730e+10,-6.0436530876e+00,-3.3692212754e+00
3.0537276949e+10,1.2162704234e+01,4.9628767032e+00
3.0637399169e+10,-1.8453656446e+01,-9.8385686303e+00
3.0737521388e+10,1.5956517721e+01,1.1257745442e+01
3.0837643608e+10,-1.1513143791e+01,-1.1008089231e+01
3.0937765827e+10,1.3815039462e+01,7.4855320821e+00
3.1037888047e+10,-1.9835064590e+01,3.6523682120e+00
3.1138010266e+10,2.5757670272e+01,-6.1912616262e+00
3.1238132486e+10,-2.6756181620e+01,-4.8666870407e+00
3.1338254705e+10,1.7902363515e+01,3.3166829478e+00
3.1438376925e+10,-1.0222722845e+01,5.2511771321e+00
3.1538499144e+10,1.6996265621e+01,-4.3740725555e+00
3.1638621364e+10,-1.9811261425e+01,7.2679912654e-01
3.1738743583e+10,3.8625416966e+00,1.8006873093e+00
3.1838865803e+10,7.1602921599e-01,3.4092075375e+00
3.1938988022e+10,1.0669141091e+01,-4.2420339176e+00
3.2039110242e+10,-8.9723353440e+00,-2.4692210216e-01
3.2139232462e+10,2.1820411818e+00,-3.3333170219e+00
3.2239354681e+10,-9.0250943738e+00,1.6940883502e+00
3.2339476901e+10,1.8127425759e+01,9.9394847190e-01
3.2439599120e+10,-1.5524874827e+01,4.4353707359e+00
3.2539721340e+10,1.4093287361e+01,-6.1128001558e+00
3.2639843559e+10,-1.9219169709e+01,2.9878409212e+00
3.2739965779e+10,1.6623366474e+01,-4.5659541716e+00
3.2840087998e+10,-9.0235819801e+00,1.0704463323e+01
3.2940210218e+10,1.0138409865e+01,-8.5202520485e+00
3.3040332437e+10,-1.2112513769e+01,4.2990171310e+00
3.3140454657e+10,9.5198943336e+00,-8.7859724110e+00
3.3240576876e+10,-1.2846213802e+01,4.9519974985e+00
3.3340699096e+10,1.4899895960e+01,3.1825422753e+00
3.3440821315e+10,-1.2599220114e+01,-6.6946762703e+00
3.3540943535e+10,7.3751066169e+00,1.1383750752e+01
3.3641065754e+10,-3.7801959922e-01,-6.6243891972e+00
3.3741187974e+10,3.9566948958e+00,-2.8207375836e+00
3.3841310193e+10,-8.9036174223e+00,8.2480400104e+00
3.3941432413e+10,1.4103675177e+00,-1.0484894051e+01
3.4041554632e+10,7.2570545000e+00,9.3177873296e+00
3.4141676852e+10,2.0278765775e+00,-8.9752654263e+00
3.4241799071e+10,-1.8305281072e+01,8.7536090605e+00
3.4341921291e+10,1.5658377068e+01,-8.5642597826e+00
3.4442043510e+10,-6.6953227226e+00,1.7008833222e+00
3.4542165730e+10,5.1964778347e+00,4.8604504703e+00
