Time(us),Amplitude
2.355957031250000195e-04,2.138529999999999927e+04
2.368164062500000206e-04,2.069709999999999854e+04
2.380371093749999946e-04,2.162409999999999854e+04
2.392578124999999957e-04,2.116870000000000073e+04
2.404785156250000239e-04,2.135340000000000146e+04
2.416992187500000249e-04,2.115079999999999927e+04
2.429199218749999989e-04,2.083159999999999854e+04
2.441406250000000000e-04,2.142450000000000000e+04
2.453613281250000282e-04,2.167190000000000146e+04
2.465820312500000022e-04,2.118500000000000000e+04
2.478027343750000304e-04,2.097309999999999854e+04
2.490234375000000043e-04,2.137820000000000073e+04
2.502441406249999783e-04,2.121329999999999927e+04
2.514648437500000065e-04,2.162500000000000000e+04
2.526855468750000347e-04,2.128670000000000073e+04
2.539062500000000087e-04,2.155170000000000073e+04
2.551269531249999827e-04,2.117440000000000146e+04
2.563476562500000108e-04,2.064170000000000073e+04
2.575683593750000390e-04,2.151650000000000000e+04
2.587890625000000130e-04,2.089129999999999927e+04
2.600097656249999870e-04,2.116309999999999854e+04
2.612304687499999610e-04,2.100190000000000146e+04
2.624511718750000434e-04,2.100740000000000146e+04
2.636718750000000173e-04,2.139450000000000000e+04
2.648925781249999913e-04,2.158390000000000146e+04
2.661132812499999653e-04,2.156490000000000146e+04
2.673339843750000477e-04,2.100450000000000000e+04
2.685546875000000217e-04,2.108459999999999854e+04
2.697753906249999957e-04,2.085809999999999854e+04
2.709960937499999696e-04,2.140759999999999854e+04
2.722167968750000520e-04,2.067459999999999854e+04
2.734375000000000260e-04,2.092200000000000000e+04
2.746582031250000000e-04,2.079009999999999854e+04
2.758789062499999740e-04,2.207140000000000146e+04
2.770996093750000022e-04,2.146300000000000000e+04
2.783203125000000304e-04,2.076200000000000000e+04
2.795410156250000043e-04,2.079350000000000000e+04
2.807617187499999783e-04,2.198959999999999854e+04
2.819824218750000065e-04,2.096059999999999854e+04
2.832031250000000347e-04,2.162129999999999927e+04
2.844238281250000087e-04,2.085909999999999854e+04
2.856445312499999827e-04,2.106240000000000146e+04
2.868652343750000108e-04,2.150540000000000146e+04
2.880859374999999848e-04,2.132979999999999927e+04
2.893066406250000130e-04,2.076340000000000146e+04
2.905273437499999870e-04,2.104679999999999927e+04
2.917480468750000152e-04,2.107390000000000146e+04
2.929687499999999892e-04,2.185500000000000000e+04
2.941894531250000173e-04,2.165059999999999854e+04
2.954101562499999913e-04,2.170300000000000000e+04
2.966308593750000195e-04,2.135300000000000000e+04
2.978515624999999935e-04,2.109640000000000146e+04
2.990722656250000217e-04,2.196659999999999854e+04
3.002929687499999957e-04,2.166970000000000073e+04
3.015136718750000239e-04,2.147409999999999854e+04
3.027343749999999978e-04,2.122620000000000073e+04
3.039550781249999718e-04,2.125429999999999927e+04
3.051757812500000000e-04,2.136179999999999927e+04
3.063964843750000282e-04,2.122970000000000073e+04
3.076171875000000022e-04,2.106459999999999854e+04
3.088378906249999761e-04,2.064320000000000073e+04
3.100585937500000043e-04,2.134340000000000146e+04
